region,date,population
Stockholm,2006-01-01,1892368
Stockholm,2006-02-01,1895163
Stockholm,2006-03-01,1897880
Stockholm,2006-04-01,1899715
Stockholm,2006-05-01,1901767
Stockholm,2006-06-01,1904204
Stockholm,2006-07-01,1907133
Stockholm,2006-08-01,1910401
Stockholm,2006-09-01,1912787
Stockholm,2006-10-01,1915141
Stockholm,2006-11-01,1916626
Stockholm,2006-12-01,1918104
Stockholm,2007-01-01,1921051
Stockholm,2007-02-01,1923486
Stockholm,2007-03-01,1925924
Stockholm,2007-04-01,1927895
Stockholm,2007-05-01,1930134
Stockholm,2007-06-01,1932763
Stockholm,2007-07-01,1935113
Stockholm,2007-08-01,1939158
Stockholm,2007-09-01,1942233
Stockholm,2007-10-01,1945836
Stockholm,2007-11-01,1948086
Stockholm,2007-12-01,1949516
Stockholm,2008-01-01,1952328
Stockholm,2008-02-01,1954563
Stockholm,2008-03-01,1956697
Stockholm,2008-04-01,1959086
Stockholm,2008-05-01,1961843
Stockholm,2008-06-01,1964805
Stockholm,2008-07-01,1968015
Stockholm,2008-08-01,1971594
Stockholm,2008-09-01,1974827
Stockholm,2008-10-01,1977938
Stockholm,2008-11-01,1979901
Stockholm,2008-12-01,1981263
Stockholm,2009-01-01,1983996
Stockholm,2009-02-01,1986524
Stockholm,2009-03-01,1989422
Stockholm,2009-04-01,1992296
Stockholm,2009-05-01,1995510
Stockholm,2009-06-01,1998896
Stockholm,2009-07-01,2002471
Stockholm,2009-08-01,2007472
Stockholm,2009-09-01,2011047
Stockholm,2009-10-01,2014618
Stockholm,2009-11-01,2017147
Stockholm,2009-12-01,2019182
Stockholm,2010-01-01,2021492
Stockholm,2010-02-01,2023052
Stockholm,2010-03-01,2025751
Stockholm,2010-04-01,2028181
Stockholm,2010-05-01,2031125
Stockholm,2010-06-01,2034480
Stockholm,2010-07-01,2037523
Stockholm,2010-08-01,2042528
Stockholm,2010-09-01,2046103
Stockholm,2010-10-01,2050015
