"Total air emissions by greenhouse gas, sector and year"

"greenhouse gas","sector","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"Total Greenhouse Gases (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",71203.3,71338.8,71022.5,71242.7,73749.3,73135.2,77030.2,72145.4,72526.6,69370.9,68131.8,68886.2,69501.1,69812.4,69132.8,66251.5,65901.0,64741.8,62344.5,58122.7,64123.2,59742.6,56829.5,55209.9,53481.9,53283.7,53198.3,52294.3,51434.3,50196.4,45981.9,47721.8,45215.4,44386.0
"Total Greenhouse Gases (kt CO2-eqv.)","NATIONAL TOTAL (excluding LULUCF, including international transports)",74942.3,75103.8,74935.1,75408.3,78554.0,78019.4,82142.9,78075.2,79334.1,76342.5,75005.4,75591.9,75361.1,77114.0,77559.7,74960.6,75120.3,74083.1,71747.4,67599.6,73220.4,67896.4,64623.9,62753.1,61492.3,61348.7,62200.6,62518.3,60125.1,60011.4,55346.9,56335.5,54146.8,51956.4
"Total Greenhouse Gases (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, excluding international transports)",11863.2,12988.4,13579.8,17635.4,18592.5,17858.9,19616.0,13375.8,13129.6,9671.7,7135.6,6970.9,7929.0,9936.4,12551.2,8013.7,3068.8,1013.3,677.5,-2971.4,2322.2,-1186.7,-2295.3,-3807.6,-4299.4,-2033.0,756.6,5922.3,11653.5,10429.0,6630.6,11055.3,11601.4,13162.4
"Total Greenhouse Gases (kt CO2-eqv.)","NATIONAL TOTAL (including LULUCF, including international transports)",15602.2,16753.4,17492.4,21801.0,23397.2,22743.1,24728.6,19305.6,19937.0,16643.3,14009.2,13676.5,13789.1,17238.0,20978.0,16722.8,12288.1,10354.6,10080.4,6505.6,11419.3,6967.0,5499.1,3735.7,3710.9,6032.1,9758.9,16146.3,20344.3,20244.0,15995.5,19669.1,20532.8,20732.8
"Total Greenhouse Gases (kt CO2-eqv.)","OFF-ROAD VEHICLES AND OTHER MACHINERY, TOTAL",3682.5,3773.5,4176.6,3930.2,3962.2,3747.9,3605.7,3636.9,3618.2,3431.0,3249.3,3122.5,3294.5,3315.2,3333.4,3331.0,3314.2,3250.3,3172.6,3241.6,3279.1,3252.2,3163.7,3080.5,2971.8,2990.7,2791.1,2760.0,2659.3,2823.8,2828.2,2889.0,2592.0,2705.9
"Total Greenhouse Gases (kt CO2-eqv.)","WASTE, TOTAL",4275.1,4348.1,4361.5,4227.9,4081.4,4074.9,4046.2,4008.9,3950.6,3804.3,3698.2,3642.1,3446.5,3299.4,3281.3,3124.9,3018.3,2818.8,2523.1,2413.7,2281.6,2165.4,2022.4,1899.2,1761.5,1639.3,1558.2,1496.4,1398.7,1295.4,1232.7,1156.0,1103.0,1055.6
"Total Greenhouse Gases (kt CO2-eqv.)","ELECTRICITY AND DISTRICT HEATING, TOTAL",6414.3,7383.4,7863.7,7750.7,8352.7,7500.4,11571.6,7108.4,7892.8,6183.3,4908.1,5740.1,6754.3,7750.9,6698.4,5787.7,5871.1,5699.9,5337.9,6519.9,8527.4,6282.3,5670.6,5556.0,4392.2,4562.5,4941.7,4417.0,4844.1,4421.0,3384.3,4072.1,3998.2,3800.7
"Total Greenhouse Gases (kt CO2-eqv.)","INDUSTRY, TOTAL",20635.6,20329.4,19006.7,20169.9,21428.9,22220.4,22260.0,22302.6,22042.0,21071.3,21571.6,22337.1,22073.7,21673.9,21810.2,21058.0,21564.4,20781.2,20008.8,15666.4,19294.4,18155.1,17443.3,16621.3,16683.5,16415.4,16957.5,16986.6,16995.5,16334.4,14643.5,15772.6,15229.8,14786.6
"Total Greenhouse Gases (kt CO2-eqv.)","DOMESTIC TRANSPORT, TOTAL",19319.7,19183.7,20092.2,19324.1,19942.4,20032.4,19789.1,19869.9,19979.2,20314.6,20163.1,20286.7,20734.5,20944.5,21299.8,21571.4,21523.2,21799.4,21338.5,20843.2,21026.1,20655.2,19503.5,19083.5,18664.9,18752.1,18088.9,17693.9,17002.8,16874.1,15474.9,15478.9,13951.4,13855.6
"Total Greenhouse Gases (kt CO2-eqv.)","INTERNATIONAL TRANSPORT, TOTAL",3739.0,3765.0,3912.6,4165.6,4804.7,4884.2,5112.7,5929.8,6807.4,6971.6,6873.6,6705.7,5860.0,7301.6,8426.9,8709.1,9219.2,9341.3,9402.9,9477.0,9097.1,8153.7,7794.4,7543.3,8010.4,8065.1,9002.3,10224.0,8690.7,9814.9,9364.9,8613.8,8931.4,7570.4
"Total Greenhouse Gases (kt CO2-eqv.)","AGRICULTURE, TOTAL",7293.7,6978.5,6936.9,7247.9,7390.6,7201.9,7268.9,7311.6,7198.5,6978.0,6963.6,6897.9,6804.1,6683.2,6708.7,6547.6,6421.1,6433.5,6520.7,6289.6,6385.4,6357.6,6265.0,6333.4,6418.5,6432.3,6397.1,6514.5,6325.6,6346.9,6449.8,6328.6,6412.0,6317.8
"Total Greenhouse Gases (kt CO2-eqv.)","SOLVENT USE AND OTHER PRODUCT USE, TOTAL",344.8,301.9,298.5,339.4,339.8,486.3,552.7,775.8,834.4,1046.1,1154.9,1256.3,1324.4,1378.4,1526.7,1524.7,1505.0,1500.2,1559.5,1513.3,1521.3,1439.9,1489.0,1485.6,1507.0,1485.1,1516.9,1522.7,1408.2,1313.3,1216.3,1240.7,1208.8,1140.9
"Total Greenhouse Gases (kt CO2-eqv.)","HEATING OF HOUSES AND PREMISES, TOTAL",9237.6,9040.3,8286.5,8252.7,8251.4,7871.0,7936.1,7131.3,7010.9,6542.4,6423.1,5603.7,5069.0,4766.9,4474.3,3306.3,2683.7,2458.4,1883.3,1635.1,1808.0,1435.1,1272.0,1150.4,1082.5,1006.3,946.9,903.2,800.1,787.7,752.3,783.8,720.2,723.0
"Total Greenhouse Gases (kt CO2-eqv.)","LAND-USE, LAND-USE CHANGE AND FORESTRY (LULUCF), TOTAL",-59340.2,-58350.3,-57442.7,-53607.3,-55156.8,-55276.3,-57414.3,-58769.6,-59397.0,-59699.2,-60996.2,-61915.4,-61572.0,-59876.0,-56581.7,-58237.8,-62832.2,-63728.6,-61667.0,-61094.1,-61801.1,-60929.4,-59124.8,-59017.5,-57781.4,-55316.6,-52441.6,-46372.1,-39780.8,-39767.4,-39351.3,-36666.5,-33614.0,-31223.6
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (excluding LULUCF, excluding international transports)",57416.5,57664.0,57509.8,57516.8,59997.4,59487.3,63349.0,58355.3,58767.2,55936.6,54892.4,55782.3,56633.8,57221.0,56427.5,53787.5,53650.8,52878.8,50765.4,47143.3,53028.6,49113.8,46606.9,45105.9,43384.7,43310.1,43308.4,42355.4,41856.0,40772.5,36622.2,38568.0,36120.6,35543.5
"Carbon Dioxide (CO2) (kt)","NATIONAL TOTAL (excluding LULUCF, including international transports)",61105.0,61377.5,61367.1,61625.7,64737.2,64305.3,68392.0,64204.0,65481.1,62813.6,61673.2,62397.9,62414.6,64424.1,64742.3,62380.0,62746.8,62096.6,60045.6,56495.9,62005.0,57159.3,54297.3,52548.7,51287.5,51260.6,52186.3,52439.1,50421.3,50444.4,45844.8,47042.9,44916.1,42989.2
